"SERVICE REQUEST TYPE","SERVICE REQUEST NUMBER","DATE SERVICE REQUEST WAS RECEIVED","LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).","IS THE BUILDING DANGEROUS OR HAZARDOUS?","IS BUILDING OPEN OR BOARDED?","IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?","IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?","IS THE BUILDING VACANT DUE TO FIRE?","ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)","ADDRESS STREET NUMBER","ADDRESS STREET DIRECTION","ADDRESS STREET NAME","ADDRESS STREET SUFFIX","ZIP CODE","X COORDINATE","Y COORDINATE","Ward","Police District","Community Area","LATITUDE","LONGITUDE","Location"
"Vacant/Abandoned Building","18-03384005","12/17/2018","Front",,"Open",,"Vacant","false","false","8455","S","BURNHAM","AVE","60617","1196293.48240573","1849447.120995","7","4","46","41.74176391586","-87.55636087437","(41.74176391586, -87.556360874371)"
"Vacant/Abandoned Building","18-03380438","12/17/2018","Front",,"Open","FRONT DOOR","Vacant","false","false","8201","S","ADA","ST","60620","1168755.21772484","1850381.02920723","21","6","71","41.74496468711","-87.65723277941","(41.744964687112, -87.65723277941)"
"Vacant/Abandoned Building","18-03379703","12/17/2018","Front",,"Open","BAC","Vacant","false","true","7840","S","BENNETT","AVE","60649","1190229.94157253","1853363.51917163","8","4","43","41.75265895197","-87.57845120487","(41.752658951975, -87.57845120487)"
"Vacant/Abandoned Building","18-03382499","12/17/2018","Front",,"Open","OPEN LOT","Occupied","false","true","731","N","PULASKI","RD","60624","1149592.31191397","1904587.94002897","37","11","23","41.8941077949","-87.72604546458","(41.894107794896, -87.726045464583)"
"Vacant/Abandoned Building","18-03374995","12/16/2018","Rear",,"Boarded",,"Vacant","false","false","8530","S","CARPENTER","ST","60620","1170805.10477382","1848250.9429985","21","6","71","41.73907499704","-87.64978368621","(41.739074997042, -87.649783686208)"
"Vacant/Abandoned Building","18-03371860","12/16/2018","Front",,"Boarded",,"Vacant","false","false","6058","S","MOZART","ST","60629","1158417.21898829","1864343.72289956","16","8","66","41.78349707611","-87.69473315833","(41.783497076114, -87.694733158334)"
"Vacant/Abandoned Building","18-03373667","12/16/2018","Rear",,"Open","NORTHSIDE OF HOUSE","Vacant","false","false","6653","S","WABASH","AVE","60637","1177752.52457146","1860898.8064104","20","3","69","41.77362793737","-87.62394764491","(41.773627937367, -87.623947644911)"
"Vacant/Abandoned Building","18-03363941","12/15/2018","Front",,"Open","FRONT AND REAR","Vacant","false","false","1131","S","MOZART","ST","60612","1157527.89999065","1895040.02001058","28","11","29","41.86774955906","-87.69716037609","(41.867749559059, -87.697160376093)"
"Vacant/Abandoned Building","18-03366142","12/15/2018","Front",,"Open","DOORS/WINDOWS","Vacant","true","false","13143","S","CARONDOLET","AVE","60633","1198433.73239265","1818412.9700882","10","4","55","41.65654996473","-87.54955401873","(41.656549964729, -87.549554018732)"
"Vacant/Abandoned Building","18-03364763","12/15/2018","Front",,"Open","FRONT","Vacant","false","true","7222","S","EUCLID","AVE","60649","1190294.44408873","1857380.6101283","5","3","43","41.76368063945","-87.57808559634","(41.76368063945, -87.57808559634)"
"Vacant/Abandoned Building","18-03359220","12/14/2018","Front",,"Boarded",,"Vacant","false","false","1041","W","103RD","PL","60643","1171203.67331807","1836184.36006943","34","22","73","41.70595384802","-87.64867500964","(41.705953848025, -87.648675009641)"
"Vacant/Abandoned Building","18-03359445","12/14/2018","Front",,"Open",,"Vacant","false","true","313","W","111TH","ST","60628","1176113.18920959","1831318.67067932","34","5","49","41.69249316777","-87.63084208645","(41.692493167773, -87.630842086452)"
"Vacant/Abandoned Building","18-03359362","12/14/2018","Front",,"Boarded",,"Vacant","false","false","11137","S","ASHLAND","AVE","60643","1167487.0451952","1830768.03249619","34","22","75","41.69117083675","-87.66243956878","(41.691170836753, -87.662439568779)"
"Vacant/Abandoned Building","18-03359572","12/14/2018","Front",,"Open",,"Vacant","true","true","12312","S","LOWE","AVE","60628","1174168.41002497","1823234.89000804","34","5","53","41.67035329477","-87.63820101617","(41.670353294772, -87.638201016169)"
"Vacant/Abandoned Building","18-03359550","12/14/2018","Front",,"Boarded",,"Vacant","false","true","11011","S","HALSTED","ST","60628","1172943.85292896","1831833.09041267","34","22","49","41.69397515887","-87.64243042404","(41.693975158873, -87.642430424044)"
"Vacant/Abandoned Building","18-03361044","12/14/2018","Front",,"Boarded","REAR","Vacant","false","true","1344","S","SPRINGFIELD","AVE","60623","1150594.28011069","1893464.273621","24","10","29","41.86356370893","-87.72265621342","(41.863563708931, -87.722656213422)"
"Vacant/Abandoned Building","18-03359302","12/14/2018","Front",,"Boarded",,"Vacant","false","false","1221","W","107TH","PL","60643","1170059.72622899","1833488.33382526","34","22","75","41.69858040993","-87.65294206419","(41.698580409934, -87.652942064189)"
"Vacant/Abandoned Building","18-03361069","12/14/2018","Rear",,"Boarded","REAR","Vacant","false","true","1346","S","SPRINGFIELD","AVE","60623","1150594.68011069","1893450.773621","24","10","29","41.86352665554","-87.72265509755","(41.863526655536, -87.722655097554)"
"Vacant/Abandoned Building","18-03361423","12/14/2018","Front",,"Open","GARAGE","Vacant","false","false","500","W","103RD","PL","60628","1174791.25303002","1836263.66818945","34","22","49","41.7060924585","-87.63553521715","(41.706092458501, -87.635535217149)"
"Vacant/Abandoned Building","18-03359335","12/14/2018","Front",,"Boarded",,"Vacant","false","false","1001","W","102ND","ST","60643","1171439.32790894","1837182.86602592","34","22","73","41.70868875535","-87.64778294982","(41.708688755349, -87.647782949816)"
"Vacant/Abandoned Building","18-03359892","12/14/2018","Garage",,"Boarded",,"Vacant","false","false","2651","W","AUGUSTA","BLVD","60622","1158539.0978194","1906551.04428198","26","12","24","41.89931625206","-87.69313283112","(41.899316252056, -87.693132831124)"
"Vacant/Abandoned Building","18-03362259","12/14/2018","Front",,"Open",,"Vacant","false","true","6057","S","MOZART","ST","60629","1158417.11898829","1864350.42289956","16","8","66","41.7835154639","-87.69473334253","(41.783515463899, -87.694733342533)"
"Vacant/Abandoned Building","18-03360079","12/14/2018","Rear",,"Open","REAR","Vacant","false","true","9032","S","THROOP","ST","60620","1169245.40939052","1844875.09833183","21","22","73","41.72984504891","-87.65559551729","(41.729845048915, -87.655595517287)"
"Vacant/Abandoned Building","18-03359458","12/14/2018","Front",,"Open","ENTERING THROUGH THE FRONT AND THE GARAGE.","Vacant","false","true","5545","S","HONORE","ST","60636","1164966.15990611","1867830.87323263","15","7","67","41.7929302772","-87.67062383489","(41.792930277198, -87.670623834892)"
"Vacant/Abandoned Building","18-03359363","12/14/2018","Front",,"Open",,"Vacant","false","true","518","N","TROY","ST","60612","1155283.80007764","1903354.41499462","27","12","23","41.89061043973","-87.70517548483","(41.890610439731, -87.705175484833)"
"Vacant/Abandoned Building","18-03358253","12/14/2018","Front",,"Open","DOORS, FROMT AND REAR","Occupied","false","true","620","E","89TH","PL","60619","1181938.63938974","1845771.19942051","6","6","44","41.73202038733","-87.60906922201","(41.732020387326, -87.609069222012)"
"Vacant/Abandoned Building","18-03359591","12/14/2018","Front",,"Boarded",,"Vacant","false","true","11841","S","LAFAYETTE","AVE","60628","1178042.35540593","1826446.19659477","34","5","53","41.67907898565","-87.62392601943","(41.679078985654, -87.623926019425)"
"Vacant/Abandoned Building","18-03358497","12/14/2018","Front",,"Open",,"Vacant","false","false","3533","N","OZARK","AVE","60634","1123790.52460024","1922547.40150106","38","16","17","41.94385305803","-87.82041466734","(41.943853058031, -87.820414667337)"
"Vacant/Abandoned Building","18-03347062","12/13/2018","Front",,"Open","FRONT DOOR","Vacant","false","true","520","W","80TH","ST","60620","1174138.19841638","1851859.42299151","17","6","44","41.74890383195","-87.63746496903","(41.748903831945, -87.637464969029)"
"Vacant/Abandoned Building","18-03350823","12/13/2018","Front",,"Boarded","NONE","Vacant","false","false","126","N","KARLOV","AVE","60624","1149044.47928215","1900303.35098624","28","11","26","41.88236104031","-87.72816847417","(41.882361040306, -87.728168474173)"
"Vacant/Abandoned Building","18-03346803","12/13/2018","Rear",,"Open",,"Vacant","true","true","6619","S","DREXEL","AVE","60637","1183363.2597724","1861313.2638171","5","3","42","41.77463640739","-87.60336722279","(41.774636407388, -87.603367222789)"
"Vacant/Abandoned Building","18-03353930","12/13/2018","Rear",,"Open","FRONT","Vacant","false","true","2023","N","DRAKE","AVE","60647","1152489.38197035","1913326.07520016","26","14","22","41.91802929261","-87.71517410233","(41.918029292607, -87.715174102331)"
"Vacant/Abandoned Building","18-03352788","12/13/2018","Front",,"Open",,"Vacant","false","false","3019","E","79TH","PL","60617","1197681.15416792","1852835.05008824","7","4","46","41.75102614948","-87.5511637686","(41.751026149483, -87.551163768599)"
"Vacant/Abandoned Building","18-03354063","12/13/2018","Front",,"Open","DOORS AND WINDOWS ARE OPEN","Occupied","false","true","2948","N","MEADE","AVE","60634","1135220.76632624","1918962.19537624","30","25","19","41.93381948918","-87.77848686641","(41.933819489185, -87.778486866408)"
"Vacant/Abandoned Building","18-03354258","12/13/2018","Front",,"Boarded",,"Vacant","false","false","4600","S","LA CROSSE","AVE","60638","1144798.7538191","1873696.56893299","22","8","56","41.80942948854","-87.74442895073","(41.809429488538, -87.74442895073)"
"Vacant/Abandoned Building","18-03353495","12/13/2018","Front",,"Open","WINDOWS 2ND FLOOR","Vacant","false","true","333","S","STATE","ST","60604","1176425.81530555","1898835.89000324","4","1","32","41.87776039668","-87.62766878243","(41.87776039668, -87.627668782428)"
"Vacant/Abandoned Building","18-03353470","12/13/2018","Front",,"Open","DOORS AND WINDOWS","Vacant","false","true","2045","W","WASHINGTON","BLVD","60612","1162758.53216616","1900683.87769246","27","12","28","41.88312882669","-87.67779956802","(41.883128826693, -87.677799568016)"
"Vacant/Abandoned Building","18-03352344","12/13/2018","Front",,"Boarded",,"Vacant",,"false","9312","S","KENWOOD","AVE",,"1186736.38002676","1843505.51387212","8","4","47","41.72569097262","-87.5915648569","(41.72569097262, -87.5915648569)"
"Vacant/Abandoned Building","18-03346905","12/13/2018",,,,,,,,"3035","W","40TH","ST","60632","1156769.75623048","1877948.58877546","12","9","58","41.82086408865","-87.70040607632","(41.820864088648, -87.700406076323)"
"Vacant/Abandoned Building","18-03346875","12/13/2018","Front",,"Open","FRONT AND REAR","Vacant","false","true","7200","S","PEORIA","ST","60621","1171550.98778148","1857101.50699916","6","7","68","41.76334580795","-87.64679216513","(41.763345807946, -87.646792165129)"
"Vacant/Abandoned Building","18-03355620","12/13/2018","Front",,"Open","ALL OVER","Vacant","false","false","8446","S","ESCANABA","AVE","60617","1196953.10003234","1849525.09009641","10","4","46","41.74196150094","-87.55394152277","(41.741961500944, -87.553941522771)"
"Vacant/Abandoned Building","18-03352756","12/13/2018","Front",,"Open",,"Vacant","false","false","1732","W","19TH","ST","60608","1165069.58899167","1890786.23190288","25","12","31","41.85592007645","-87.66959428509","(41.855920076447, -87.66959428509)"
"Vacant/Abandoned Building","18-03341192","12/12/2018",,,,,,,,"255","E","135TH","PL","60827","1180549.4600243","1815480.37999166","9","5","54","41.64893009198","-87.6150835693","(41.648930091978, -87.6150835693)"
"Vacant/Abandoned Building","18-03342446","12/12/2018","Rear",,"Open",,"Vacant","false","false","1822","N","WOLCOTT","AVE","60622","1163400.11666784","1912157.71602001","32","14","22","41.91460043255","-87.6751203885","(41.914600432552, -87.675120388496)"
"Vacant/Abandoned Building","18-03340682","12/12/2018","Front",,"Open",,"Vacant","false","true","3329","S","MORGAN","ST","60608","1170188.04691575","1882782.96986921","11","9","60","41.83384831278","-87.65104047754","(41.833848312776, -87.651040477539)"
"Vacant/Abandoned Building","18-03340611","12/12/2018","Rear",,"Open",,"Vacant","false","true","1644","N","KEELER","AVE","60639","1148136.85039178","1910598.78261318","26","25","23","41.9106303126","-87.73123601896","(41.910630312598, -87.731236018959)"
"Vacant/Abandoned Building","18-03341382","12/12/2018",,,,,,,,"7337","S","PEORIA","ST","60621","1171576.1802302","1856190.27388582","17","7","68","41.76084471863","-87.6467264883","(41.760844718632, -87.646726488304)"
"Vacant/Abandoned Building","18-03338123","12/12/2018",,,,,,,,"1348","S","KEELER","AVE","60623","1148599.9610772","1893386.92463292","24","10","29","41.86339014864","-87.72997928695","(41.863390148639, -87.729979286948)"
"Vacant/Abandoned Building","18-03340390","12/12/2018","Rear",,"Boarded",,"Vacant","false","false","5404","W","WASHINGTON","BLVD","60644","1140282.78140074","1900222.73568423","28","15","25","41.88230485671","-87.76034391051","(41.882304856706, -87.760343910511)"
"Vacant/Abandoned Building","18-03343007","12/12/2018",,,,,,,,"1611","N","RICHMOND","ST","60647","1156573.15776955","1910584.56937538","1","14","24","41.91042462221","-87.70024437571","(41.910424622206, -87.700244375709)"
"Vacant/Abandoned Building","18-03341155","12/12/2018",,,,,,,,"1657","S","CENTRAL PARK","AVE","60623","1152646.17998163","1891421.23011668","24","10","29","41.85791706349","-87.71517777201","(41.857917063491, -87.715177772014)"
"Vacant/Abandoned Building","18-03344283","12/12/2018","Front",,"Open","REAR ENTRY","Vacant","false","true","1240","W","97TH","ST","60643","1169757.00467048","1840605.24597721","21","22","73","41.71811687601","-87.65384485901","(41.71811687601, -87.653844859007)"
"Vacant/Abandoned Building","18-03341033","12/12/2018","Rear",,"Open",,"Vacant","false","false","5435","S","JUSTINE","ST","60609","1166928.98147224","1868682.86187692","16","9","61","41.79522648926","-87.6634020404","(41.795226489259, -87.663402040403)"
"Vacant/Abandoned Building","18-03341066","12/12/2018",,,,,,,,"1023","W","IRVING PARK","RD","60613","1168636.53009842","1926729.11513118","46","19","6","41.9544731549","-87.65545935687","(41.954473154904, -87.655459356873)"
"Vacant/Abandoned Building","18-03341010","12/12/2018","Garage",,"Open","FRONT","Vacant","false","false","105","W","113TH","PL","60628","1177505.72227733","1829696.58798406","34","5","49","41.6880106565","-87.62579259322","(41.688010656495, -87.625792593216)"
"Vacant/Abandoned Building","18-03341237","12/12/2018","Front",,"Open",,"Vacant","false","false","7339","S","PEORIA","ST","60621","1171576.4802302","1856176.87388582","17","7","68","41.76080794078","-87.64672578078","(41.760807940779, -87.646725780785)"
"Vacant/Abandoned Building","18-03342082","12/12/2018","Front",,"Open",,"Vacant","false","false","6556","S","RHODES","AVE","60637","1181028.39369864","1861660.17010717","20","3","42","41.77564241746","-87.61191571416","(41.775642417458, -87.611915714161)"
"Vacant/Abandoned Building","18-03340203","12/12/2018","Front",,"Open","DOOR","Vacant","false","false","3249","N","NATCHEZ","AVE","60634","1132477.3803066","1920899.46542872","36","16","17","41.93918385717","-87.78852364681","(41.939183857174, -87.788523646808)"
"Vacant/Abandoned Building","18-03342983","12/12/2018",,,,,,,,"1609","N","RICHMOND","ST","60647","1156573.65776955","1910568.76937538","1","14","24","41.91038125556","-87.70024296731","(41.91038125556, -87.700242967313)"
"Vacant/Abandoned Building","18-03340326","12/12/2018","Front",,"Boarded",,"Vacant","false","false","822","N","LOCKWOOD","AVE","60651","1140872.54652052","1904968.35381705","37","15","25","41.89531659117","-87.7580614318","(41.895316591166, -87.758061431796)"
"Vacant/Abandoned Building","18-03343200","12/12/2018","Front",,"Open","FRONT","Vacant","false","false","2101","N","KENMORE","AVE","60614","1168957.86239518","1914140.96120129","43","18","7","41.91992370797","-87.65464445431","(41.919923707974, -87.654644454309)"
"Vacant/Abandoned Building","18-03344094","12/12/2018","Front",,"Open",,"Vacant","false","true","11732","S","LA SALLE","ST","60628","1177364.27671768","1827152.40019211","34","5","53","41.68103220981","-87.62638684034","(41.681032209812, -87.626386840343)"
"Vacant/Abandoned Building","18-03340579","12/12/2018","Front",,"Open",,"Vacant","false","false","116","W","113TH","PL","60628","1177442.42227733","1829695.08798406","34","5","49","41.68800796674","-87.62602437293","(41.688007966738, -87.626024372928)"
"Vacant/Abandoned Building","18-03338053","12/12/2018",,,,,,,,"2400","S","DRAKE","AVE","60623","1153081.55718592","1887826.71756684","22","10","30","41.84804468435","-87.71367487506","(41.848044684349, -87.713674875059)"
"Vacant/Abandoned Building","18-03341165","12/12/2018",,,,,,,,"1920","W","22ND","PL","60608","1163919.67162573","1889092.35999629","25","10","31","41.85129624356","-87.67386279512","(41.851296243561, -87.673862795124)"
"Vacant/Abandoned Building","18-03344030","12/12/2018","Front",,"Open",,"Vacant","false","true","9704","S","OGLESBY","AVE","60617","1193644.33161237","1840900.58478873","10","4","51","41.71837666639","-87.5663461145","(41.71837666639, -87.566346114495)"
"Vacant/Abandoned Building","18-03344216","12/12/2018","Front",,"Open","FRONT DOOR","Vacant","false","true","5239","W","RACE","AVE","60644","1141341.82526916","1903050.75979482","37","15","25","41.8900458351","-87.75638522083","(41.890045835101, -87.75638522083)"
"Vacant/Abandoned Building","18-03330589","12/11/2018","Front",,"Open",,"Vacant","false","false","4245","W","WILCOX","ST","60624","1148112.12052565","1898998.1815713","28","11","26","41.87879749709","-87.73162573782","(41.878797497091, -87.73162573782)"
"Vacant/Abandoned Building","18-03330614","12/11/2018","Front",,"Open",,"Vacant","false","false","4211","W","WILCOX","ST","60624","1148340.92052565","1899003.2815713","28","11","26","41.87880708725","-87.73078548933","(41.878807087249, -87.730785489335)"
"Vacant/Abandoned Building","18-03330694","12/11/2018","Front",,"Open",,"Vacant","false","false","4129","W","ADAMS","ST","60624","1148898.5405974","1898690.92592853","28","11","26","41.87793918692","-87.72874607717","(41.877939186924, -87.72874607717)"
"Vacant/Abandoned Building","18-03330480","12/11/2018","Front",,"Open",,"Vacant","false","false","5020","W","FULTON","ST","60644","1142857.41411046","1901473.94338956","28","15","25","41.88569076292","-87.75085853096","(41.885690762918, -87.750858530959)"
"Vacant/Abandoned Building","18-03335620","12/11/2018",,,,,,,,"5206","S","HERMITAGE","AVE","60609","1165561.06053277","1870176.3363247","16","9","61","41.79935390649","-87.66837587063","(41.799353906495, -87.668375870631)"
"Vacant/Abandoned Building","18-03332485","12/11/2018","Front",,"Open",,"Vacant","false","false","1330","W","CARMEN","AVE","60640","1166509.68701548","1934036.05683054","47","20","3","41.9745695724","-87.66306778169","(41.974569572403, -87.663067781695)"
"Vacant/Abandoned Building","18-03334213","12/11/2018","Rear",,"Boarded","REAR","Vacant","false","false","1342","S","HEATH","AVE","60608","1161026.88987642","1893815.92430431","28","12","28","41.86431864891","-87.68434893521","(41.864318648905, -87.684348935215)"
"Vacant/Abandoned Building","18-03335450","12/11/2018","Rear",,"Open",,"Vacant","true","true","6152","S","ARTESIAN","AVE","60629","1161093.91946913","1863794.12740174","16","8","66","41.78193393978","-87.68493458507","(41.781933939776, -87.684934585065)"
"Vacant/Abandoned Building","18-03332791","12/11/2018","Front",,"Boarded",,"Vacant","false","false","2455","W","79TH","ST","60652","1161300.99827339","1852211.85307749","18","8","70","41.75014622252","-87.68449569716","(41.750146222516, -87.684495697159)"
"Vacant/Abandoned Building","18-03331043","12/11/2018","Front",,"Open",,"Vacant","false","false","4050","W","MONROE","ST","60624","1149740.49601598","1899361.02220854","28","11","26","41.87976168926","-87.72563717402","(41.879761689259, -87.725637174016)"
"Vacant/Abandoned Building","18-03331935","12/11/2018","Front",,"Open",,"Vacant","false","false","4138","W","JACKSON","BLVD","60624","1148848.33006794","1898364.81947818","28","11","26","41.87704528405","-87.72893887163","(41.87704528405, -87.728938871627)"
"Vacant/Abandoned Building","18-03334552","12/11/2018","Front",,"Open",,"Vacant","false","false","1544","S","KEELER","AVE","60623","1148638.08801695","1892084.2216233","24","10","29","41.85981463705","-87.72987293778","(41.85981463705, -87.729872937782)"
"Vacant/Abandoned Building","18-03334688","12/11/2018","Rear",,"Open","DOORS AND WINDOWS","Vacant","false","false","1820","N","WOLCOTT","AVE","60622","1163400.51666784","1912144.61602001","32","14","22","41.91456447684","-87.67511928831","(41.914564476839, -87.675119288313)"
"Vacant/Abandoned Building","18-03334134","12/11/2018","Front",,"Open","REAR DOOR","Vacant","false","false","2039","W","69TH","PL","60636","1163963.33231873","1858564.40010064","17","7","67","41.76752300755","-87.67456141259","(41.767523007546, -87.674561412594)"
"Vacant/Abandoned Building","18-03331069","12/11/2018","Front",,"Open",,"Vacant","false","false","4036","W","MONROE","ST","60624","1149497.79601598","1899355.22220854","28","11","26","41.87975048568","-87.7265284928","(41.879750485677, -87.726528492802)"
"Vacant/Abandoned Building","18-03332099","12/11/2018","Rear",,"Boarded","BACKYARD","Vacant","false","false","1154","W","88TH","ST","60620","1170085.33828754","1846440.08781274","21","22","71","41.73412141391","-87.65247326368","(41.734121413914, -87.652473263681)"
"Vacant/Abandoned Building","18-03331077","12/11/2018","Front",,"Open",,"Vacant","false","false","4248","W","ADAMS","ST","60624","1148102.60607873","1898672.44009933","28","11","26","41.87790380805","-87.73166905808","(41.877903808051, -87.731669058083)"
"Vacant/Abandoned Building","18-03331065","12/11/2018","Front",,"Open",,"Vacant","false","false","4011","W","WILCOX","ST","60624","1149676.85756937","1899034.2821832","28","11","26","41.87886631442","-87.72587933915","(41.87886631442, -87.725879339155)"
"Vacant/Abandoned Building","18-03326891","12/10/2018","Front",,"Open","FRONT DOOR","Vacant","false","false","10110","S","MORGAN","ST","60643","1171433.72666969","1837778.08043174","34","22","73","41.71032223579","-87.6477861084","(41.710322235787, -87.647786108398)"
"Vacant/Abandoned Building","18-03324149","12/10/2018","Front",,"Open","FRONT","Vacant","false","false","3347","W","GLADYS","AVE","60624","1154031.68257233","1898094.70598375","28","11","27","41.87620232604","-87.70991420978","(41.876202326042, -87.709914209784)"
"Vacant/Abandoned Building","18-03326732","12/10/2018","Front",,"Open","FRONT AND REAR DOORS..","Vacant","false","true","6045","S","THROOP","ST","60636","1168693.23552786","1864680.06673076","16","7","67","41.78420443782","-87.65704795648","(41.784204437816, -87.657047956477)"
"Vacant/Abandoned Building","18-03327093","12/10/2018","Front",,"Open","FRONT","Vacant","false","false","7941","S","ESCANABA","AVE","60617","1196886.59397156","1852870.22869465","7","4","46","41.75114246663","-87.55407419711","(41.751142466632, -87.554074197111)"
"Vacant/Abandoned Building","18-03328912","12/10/2018","Front",,"Open",,"Vacant","false","false","2110","S","HALSTED","ST","60608","1171360.78528632","1890045.37990149","11","12","31","41.85375134705","-87.64652435606","(41.853751347049, -87.646524356059)"
"Vacant/Abandoned Building","18-03326968","12/10/2018",,,,,,,,"8009","S","FRANCISCO","AVE","60652","1158437.02281434","1851382.39319233","18","8","70","41.74792884058","-87.6950132056","(41.747928840583, -87.695013205603)"
"Vacant/Abandoned Building","18-03327605","12/10/2018",,,,,,,,"3026","W","LYNDALE","ST","60647","1155824.92209441","1914935.32692496","32","14","22","41.92237857953","-87.70287562373","(41.922378579533, -87.702875623734)"
"Vacant/Abandoned Building","18-03324524","12/10/2018","Rear",,"Open","REAR DOOR","Vacant","false","false","5005","W","PENSACOLA","AVE","60641","1142336.17812626","1928460.43398841","45","16","15","41.95975419399","-87.75210093166","(41.959754193993, -87.752100931662)"
"Vacant/Abandoned Building","18-03322110","12/10/2018","Front",,"Boarded",,"Vacant","false","false","1500","W","71ST","ST","60636","1167563.64988289","1857652.0138733","17","7","67","41.76494287199","-87.66139078541","(41.764942871985, -87.661390785411)"
"Vacant/Abandoned Building","18-03325427","12/10/2018","Front",,"Open","FRONT","Vacant","false","false","7222","S","SANGAMON","ST","60621","1171224.49727624","1856945.10840275","6","7","68","41.76292377511","-87.64799338213","(41.762923775106, -87.647993382127)"
"Vacant/Abandoned Building","18-03325912","12/10/2018","Front",,"Open",,"Vacant","false","false","2037","E","75TH","ST","60649","1191201.37920001","1855643.52738582","8","4","43","41.75889204285","-87.57481768186","(41.758892042853, -87.574817681862)"
"Vacant/Abandoned Building","18-03327788","12/10/2018","Rear",,"Boarded",,"Vacant","false","false","7241","S","VERNON","AVE","60619","1180500.12846621","1857103.27398026","6","3","69","41.76314997332","-87.61399197725","(41.763149973318, -87.613991977247)"
"Vacant/Abandoned Building","18-03323616","12/10/2018","Front",,"Boarded",,"Vacant","false","true","10817","S","HOXIE","AVE","60617","1195234.27022223","1833820.81143262","10","4","51","41.69891005857","-87.56075550772","(41.698910058574, -87.560755507724)"
"Vacant/Abandoned Building","18-03326500","12/10/2018","Rear",,"Open",,"Vacant","false","false","1345","S","KEELER","AVE","60623","1148599.3610772","1893407.02463292","24","10","29","41.86344531705","-87.72998097096","(41.863445317049, -87.729980970963)"
"Vacant/Abandoned Building","18-03327165","12/10/2018","Front",,"Open",,"Vacant","true","true","5817","S","CARPENTER","ST","60621","1170309.86237999","1866153.82689113","16","7","68","41.78821356147","-87.65107790895","(41.78821356147, -87.651077908948)"
"Vacant/Abandoned Building","18-03328260","12/10/2018","Front",,"Boarded","IS NOT OPEN","Vacant","false","false","10231","S","PEORIA","ST","60643","1172119.584998","1836988.9507047","34","22","73","41.70814173408","-87.64529746593","(41.708141734081, -87.645297465931)"
"Vacant/Abandoned Building","18-03326721","12/10/2018","Front",,"Open",,"Vacant","false","false","5752","W","DAKIN","ST","60634","1137297.35998439","1925669.78881154","38","16","15","41.95218868548","-87.77069353995","(41.952188685484, -87.770693539954)"
"Vacant/Abandoned Building","18-03317321","12/09/2018","Front",,"Open","FRONT DOOR","Vacant","false","false","1339","S","KEELER","AVE","60623","1148598.0610772","1893447.32463292","24","10","29","41.86355593021","-87.72998470352","(41.863555930209, -87.729984703518)"
"Vacant/Abandoned Building","18-03319053","12/09/2018","Garage",,"Open","GARAGE","Vacant","false","true","8435","S","MARSHFIELD","AVE","60620","1166810.31448714","1848772.10927174","21","6","71","41.74059129189","-87.6644050354","(41.74059129189, -87.664405035395)"
"Vacant/Abandoned Building","18-03317316","12/09/2018","Front",,"Open","REAR DOOR","Vacant","false","false","1014","S","INDEPENDENCE","BLVD","60624","1151414.6278189","1895297.19653254","24","11","29","41.86857740762","-87.71959664486","(41.868577407623, -87.719596644856)"
"Vacant/Abandoned Building","18-03316467","12/09/2018","Front",,"Open",,"Vacant","false","true","825","N","LAWNDALE","AVE","60651","1151568.61861408","1905254.00690853","27","11","23","41.89589693503","-87.71876954111","(41.895896935029, -87.718769541114)"
"Vacant/Abandoned Building","18-03317385","12/09/2018","Front",,"Open",,"Vacant","false","false","4843","S","CHAMPLAIN","AVE","60615","1181415.75498915","1873043.64652871","4","2","38","41.80687076965","-87.61014466655","(41.806870769646, -87.610144666546)"
"Vacant/Abandoned Building","18-03316675","12/09/2018","Garage",,"Open","SIDE","Vacant","false","false","4907","W","BERTEAU","AVE","60641","1142806.90553334","1927472.46963145","45","16","15","41.95703436028","-87.75039501245","(41.957034360275, -87.750395012452)"
"Vacant/Abandoned Building","18-03313950","12/08/2018","Rear",,"Open","FRONT","Vacant","false","false","324","S","MOZART","ST","60612","1157435.89852667","1898435.51481818","27","11","27","41.87706900738","-87.69740577837","(41.877069007382, -87.69740577837)"
"Vacant/Abandoned Building","18-03312378","12/08/2018","Front",,"Open","FRONT DOOR AND WINDOWS","Vacant","false","true","7755","S","HALSTED","ST","60620","1172312.08136698","1853433.19038378","17","6","71","41.7532627846","-87.64411033196","(41.7532627846, -87.644110331964)"
"Vacant/Abandoned Building","18-03313242","12/08/2018","Front",,"Boarded",,"Vacant","false","false","836","N","WASHTENAW","AVE","60622","1158238.74857442","1905591.39823078","26","12","24","41.8966890456","-87.6942622666","(41.896689045601, -87.694262266598)"
"Vacant/Abandoned Building","18-03315291","12/08/2018","Front",,"Open",,"Occupied","false","true","7318","S","LANGLEY","AVE","60619","1182160.7926209","1856645.59840002","6","3","69","41.76185579481","-87.60791954135","(41.761855794807, -87.607919541355)"
"Vacant/Abandoned Building","18-03309894","12/07/2018","Rear",,"Open","REAR","Vacant","false","false","6432","S","HOYNE","AVE","60636","1163468.39489796","1861979.00930833","16","7","67","41.77690355028","-87.67627996012","(41.776903550278, -87.67627996012)"
